"約定日時","取引区分","受渡日","約定番号","銘柄名","銘柄コード","限月","コールプット区分","権利行使価格","権利行使価格通貨","カバードワラント商品種別","売買区分","通貨","市場","口座","信用区分","約定数量","約定単価","コンバージョンレート","手数料","手数料消費税","建単価","新規手数料","新規手数料消費税","管理費","名義書換料","金利","貸株料","品貸料","前日分値洗","経過利子（円貨）","経過利子（外貨）","経過日数（外債）","所得税（外債）","地方税（外債）","金利・価格調整額（CFD）","配当金調整額（CFD）","売建単価（くりっく365）","買建単価（くりっく365）","円貨スワップ損益","外貨スワップ損益","約定金額（円貨）","約定金額（外貨）","決済金額（円貨）","決済金額（外貨）","実現損益","受渡金額（円貨）","備考"
"2021/06/04 04:05:12","CFD振替入金（証券口座より）","2021/06/04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1320000",""
"2021/06/04 04:05:31","CFD新規","2021/06/03","0001","Facebook","","","","","","","買","","","","","10","326.22","","0","0","0","0","0","","","","","","","","","","","","0","0","","","","","","","0","0.00","0","0",""
"2021/06/04 04:05:56","CFD新規","2021/06/03","0002","Alphabet（旧Google）","","","","","","","買","","","","","2","2346.23","","0","0","0","0","0","","","","","","","","","","","","0","0","","","","","","","0","0.00","0","0",""
"2021/06/04 04:09:10","CFD新規","2021/06/03","0003","Facebook","","","","","","","買","","","","","10","326.18","","0","0","0","0","0","","","","","","","","","","","","0","0","","","","","","","0","0.00","0","0",""
"2021/06/04 04:20:54","CFD新規","2021/06/03","0004","Facebook","","","","","","","買","","","","","5","326.4","","0","0","0","0","0","","","","","","","","","","","","0","0","","","","","","","0","0.00","0","0",""
"2021/06/04 04:22:29","CFD新規","2021/06/03","0005","米国NQ100","","","","","","","売","","","","","1","13543.6","","0","0","0","0","0","","","","","","","","","","","","0","0","","","","","","","0","0.00","0","0",""
"2021/06/04 04:35:21","CFD新規","2021/06/03","0006","マイクロソフト","","","","","","","買","","","","","10","245.62","","0","0","0","0","0","","","","","","","","","","","","0","0","","","","","","","0","0.00","0","0",""
"2021/06/04 04:37:14","CFD新規","2021/06/03","0007","Facebook","","","","","","","買","","","","","5","326.98","","0","0","0","0","0","","","","","","","","","","","","0","0","","","","","","","0","0.00","0","0",""
"2021/06/04 23:19:30","CFD新規","2021/06/04","0008","マイクロソフト","","","","","","","買","","","","","2","250.42","","0","0","0","0","0","","","","","","","","","","","","0","0","","","","","","","0","0.00","0","0",""
"2021/06/04 23:19:48","CFD新規","2021/06/04","0009","マイクロソフト","","","","","","","買","","","","","8","250.39","","0","0","0","0","0","","","","","","","","","","","","0","0","","","","","","","0","0.00","0","0",""
